TABLE->,HT-BED-FLAGS,HT-BED-FLAGS,HT-BED-FLAGS,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,HEAT-INIT,HEAT-INIT
VARS->,BDFG,TGFG,TSTP,ELEV,ELDAT,CFSAEX,KATRAD,KCOND,KEVAP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TW,AIRTMP
SU7_0550_0540,0,na,na,0792,0011,0.70,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU7_0540_0720,0,na,na,0763,-0018,0.70,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU7_0720_0750,0,na,na,0736,-0564,0.70,12.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU7_0750_0850,0,na,na,0715,-0585,0.50,12.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU7_0850_0730,0,na,na,0699,-0601,0.70,12.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU7_0730_0860,0,na,na,0671,-0629,0.70,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU7_0860_0960,0,na,na,0628,-0672,0.70,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU7_0960_0950,0,na,na,0607,0043,0.70,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU7_0950_1010,0,na,na,0592,0028,0.70,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU7_1010_0980,0,na,na,0572,0008,0.70,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU7_0980_1120,0,na,na,0546,-0018,0.70,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU7_1120_1140,0,na,na,0523,0005,0.70,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU7_1140_1420,0,na,na,0499,-0020,0.70,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU7_1420_1590,0,na,na,0464,-0511,0.70,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
